"Half pore width","Cumulative Pore Volume","Cumulative Surface Area",dV(r),dS(r)
7.3739,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
7.7133,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.0683,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.4397,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.8282,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.2345,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.6595,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
10.1041,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
10.5692,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
11.0557,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
11.5646,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
12.0969,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
12.6537,1.2981e-04,1.0258e-01,2.3313e-04,1.8424e-01
13.2361,4.5740e-04,3.5009e-01,5.6247e-04,4.2496e-01
13.8453,9.2314e-04,6.8648e-01,7.6448e-04,5.5216e-01
14.4826,1.4074e-03,1.0208e+00,7.5989e-04,5.2469e-01
15.1492,1.8723e-03,1.3278e+00,6.9748e-04,4.6041e-01
15.8465,2.3608e-03,1.6360e+00,7.0058e-04,4.4211e-01
16.5758,2.8259e-03,1.9166e+00,6.3762e-04,3.8467e-01
17.3388,3.2412e-03,2.1561e+00,5.4435e-04,3.1395e-01
18.1369,3.6498e-03,2.3814e+00,5.1196e-04,2.8228e-01
18.9717,3.9888e-03,2.5601e+00,4.0603e-04,2.1402e-01
19.8449,4.3047e-03,2.7193e+00,3.6181e-04,1.8232e-01
20.7583,4.6531e-03,2.8871e+00,3.8137e-04,1.8372e-01
21.7138,4.9876e-03,3.0411e+00,3.5010e-04,1.6123e-01
22.7132,5.3558e-03,3.2033e+00,3.6843e-04,1.6221e-01
23.7586,5.7280e-03,3.3599e+00,3.5606e-04,1.4987e-01
24.8522,6.0861e-03,3.5040e+00,3.2745e-04,1.3176e-01
25.9961,6.4306e-03,3.6365e+00,3.0116e-04,1.1585e-01
27.1926,6.7428e-03,3.7513e+00,2.6092e-04,9.5954e-02
28.4443,7.0430e-03,3.8569e+00,2.3983e-04,8.4316e-02
29.7535,7.3214e-03,3.9505e+00,2.1267e-04,7.1478e-02
31.1230,7.6342e-03,4.0510e+00,2.2841e-04,7.3391e-02
32.5555,7.8758e-03,4.1252e+00,1.6866e-04,5.1808e-02
34.0540,8.1297e-03,4.1997e+00,1.6941e-04,4.9748e-02
35.6214,8.2764e-03,4.2409e+00,9.3615e-05,2.6281e-02
37.2610,8.3830e-03,4.2695e+00,6.4992e-05,1.7442e-02
38.9760,8.5216e-03,4.3051e+00,8.0847e-05,2.0743e-02
40.7700,8.6547e-03,4.3377e+00,7.4195e-05,1.8198e-02
42.6465,8.7721e-03,4.3652e+00,6.2510e-05,1.4657e-02
44.6095,8.8854e-03,4.3907e+00,5.7763e-05,1.2949e-02
46.6628,8.9928e-03,4.4137e+00,5.2288e-05,1.1206e-02
48.8105,9.0675e-03,4.4290e+00,3.4801e-05,7.1300e-03
51.0572,9.1610e-03,4.4473e+00,4.1617e-05,8.1510e-03
53.4072,9.2753e-03,4.4687e+00,4.8604e-05,9.1007e-03
55.8655,9.3810e-03,4.4876e+00,4.3009e-05,7.6987e-03
58.4368,9.4769e-03,4.5040e+00,3.7294e-05,6.3820e-03
61.1265,9.5735e-03,4.5198e+00,3.5920e-05,5.8763e-03
63.9401,9.6698e-03,4.5349e+00,3.4233e-05,5.3539e-03
66.8831,9.7662e-03,4.5493e+00,3.2765e-05,4.8989e-03
69.9616,9.8750e-03,4.5649e+00,3.5334e-05,5.0504e-03
73.1818,9.9609e-03,4.5766e+00,2.6659e-05,3.6429e-03
76.5502,1.0034e-02,4.5861e+00,2.1707e-05,2.8356e-03
80.0736,1.0106e-02,4.5951e+00,2.0351e-05,2.5417e-03
83.7592,1.0177e-02,4.6036e+00,1.9266e-05,2.3001e-03
87.6145,1.0247e-02,4.6116e+00,1.8270e-05,2.0853e-03
91.6472,1.0317e-02,4.6192e+00,1.7290e-05,1.8866e-03
95.8655,1.0386e-02,4.6264e+00,1.6359e-05,1.7064e-03
100.2780,1.0438e-02,4.6316e+00,1.1817e-05,1.1785e-03
104.8936,1.0438e-02,4.6316e+00,0.0000e+00,0.0000e+00
