Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
16.4843,2.6818e-04,3.2537e-01,1.3576e-04,1.6472e-01,5.1469e-03,6.2446e+00
18.5890,9.5397e-04,1.0632e+00,3.0696e-04,3.3026e-01,1.3123e-02,1.4119e+01
20.8963,1.5852e-03,1.6674e+00,2.6519e-04,2.5382e-01,1.2746e-02,1.2199e+01
23.7125,1.9861e-03,2.0055e+00,1.2326e-04,1.0396e-01,6.7193e-03,5.6674e+00
27.6209,2.5988e-03,2.4491e+00,1.3423e-04,9.7192e-02,8.5173e-03,6.1673e+00
32.2599,3.1997e-03,2.8217e+00,1.2750e-04,7.9048e-02,9.4542e-03,5.8613e+00
38.5705,4.2284e-03,3.3551e+00,1.3008e-04,6.7449e-02,1.1512e-02,5.9692e+00
46.6737,5.0942e-03,3.7261e+00,1.0434e-04,4.4708e-02,1.1183e-02,4.7921e+00
60.9341,7.0222e-03,4.3589e+00,9.5342e-05,3.1293e-02,1.3253e-02,4.3501e+00
83.7310,9.0889e-03,4.8526e+00,8.1457e-05,1.9457e-02,1.5584e-02,3.7223e+00
155.9814,1.8286e-02,6.0318e+00,7.7202e-05,9.8989e-03,2.6323e-02,3.3752e+00
760.2383,5.3122e-02,6.9483e+00,3.1977e-05,8.4124e-04,4.4544e-02,1.1718e+00
1766.6468,5.3122e-02,6.9483e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
