Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
17.1775,1.0256e-03,1.1941e+00,5.4002e-04,6.2875e-01,2.1338e-02,2.4844e+01
19.2108,2.1148e-03,2.3280e+00,5.0251e-04,5.2315e-01,2.2205e-02,2.3117e+01
21.5841,2.9532e-03,3.1049e+00,3.2510e-04,3.0124e-01,1.6138e-02,1.4953e+01
24.5438,3.7275e-03,3.7359e+00,2.3181e-04,1.8889e-01,1.3080e-02,1.0659e+01
28.3446,4.7430e-03,4.4524e+00,2.3830e-04,1.6815e-01,1.5524e-02,1.0954e+01
33.0066,5.7367e-03,5.0545e+00,1.9628e-04,1.1893e-01,1.4888e-02,9.0211e+00
38.9882,6.8738e-03,5.6379e+00,1.6479e-04,8.4536e-02,1.4755e-02,7.5692e+00
47.9682,7.2959e-03,5.8139e+00,3.8167e-05,1.5914e-02,4.1969e-03,1.7499e+00
62.5132,8.0376e-03,6.0511e+00,4.1134e-05,1.3160e-02,5.8797e-03,1.8811e+00
89.1208,8.9456e-03,6.2549e+00,2.5808e-05,5.7916e-03,5.2264e-03,1.1729e+00
157.5078,9.8780e-03,6.3733e+00,9.1774e-06,1.1653e-03,3.2096e-03,4.0755e-01
1628.2256,1.1578e-02,6.3942e+00,5.9876e-07,7.3548e-06,1.4591e-03,1.7923e-02
3247.8280,1.1586e-02,6.3942e+00,1.8747e-08,1.1544e-07,1.4002e-04,8.6224e-04
