"Half pore width","Cumulative Pore Volume","Cumulative Surface Area",dV(r),dS(r)
7.3739,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
7.7133,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.0683,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.4397,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.8282,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.2345,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.6595,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
10.1041,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
10.5692,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
11.0557,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
11.5646,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
12.0969,5.7930e-05,4.7888e-02,1.0883e-04,8.9966e-02
12.6537,1.6721e-04,1.3425e-01,1.9627e-04,1.5511e-01
13.2361,3.3399e-04,2.6026e-01,2.8636e-04,2.1635e-01
13.8453,5.4757e-04,4.1452e-01,3.5058e-04,2.5321e-01
14.4826,7.7541e-04,5.7184e-01,3.5753e-04,2.4687e-01
15.1492,9.9913e-04,7.1951e-01,3.3561e-04,2.2153e-01
15.8465,1.2303e-03,8.6537e-01,3.3148e-04,2.0918e-01
16.5758,1.4507e-03,9.9837e-01,3.0225e-04,1.8234e-01
17.3388,1.6541e-03,1.1157e+00,2.6654e-04,1.5372e-01
18.1369,1.8538e-03,1.2258e+00,2.5030e-04,1.3800e-01
18.9717,2.0306e-03,1.3189e+00,2.1170e-04,1.1159e-01
19.8449,2.2058e-03,1.4072e+00,2.0063e-04,1.0110e-01
20.7583,2.3956e-03,1.4987e+00,2.0781e-04,1.0011e-01
21.7138,2.5694e-03,1.5787e+00,1.8192e-04,8.3781e-02
22.7132,2.7458e-03,1.6564e+00,1.7652e-04,7.7716e-02
23.7586,2.9188e-03,1.7292e+00,1.6547e-04,6.9648e-02
24.8522,3.0885e-03,1.7975e+00,1.5522e-04,6.2459e-02
25.9961,3.2557e-03,1.8618e+00,1.4617e-04,5.6228e-02
27.1926,3.4211e-03,1.9226e+00,1.3824e-04,5.0836e-02
28.4443,3.5805e-03,1.9787e+00,1.2729e-04,4.4751e-02
29.7535,3.7196e-03,2.0254e+00,1.0624e-04,3.5706e-02
31.1230,3.8614e-03,2.0710e+00,1.0354e-04,3.3269e-02
32.5555,3.9704e-03,2.1045e+00,7.6092e-05,2.3373e-02
34.0540,4.0780e-03,2.1360e+00,7.1802e-05,2.1085e-02
35.6214,4.1551e-03,2.1577e+00,4.9248e-05,1.3825e-02
37.2610,4.2251e-03,2.1765e+00,4.2668e-05,1.1451e-02
38.9760,4.3116e-03,2.1987e+00,5.0443e-05,1.2942e-02
40.7700,4.3944e-03,2.2190e+00,4.6150e-05,1.1320e-02
42.6465,4.4681e-03,2.2363e+00,3.9271e-05,9.2083e-03
44.6095,4.5381e-03,2.2520e+00,3.5666e-05,7.9951e-03
46.6628,4.6035e-03,2.2660e+00,3.1822e-05,6.8195e-03
48.8105,4.6539e-03,2.2763e+00,2.3480e-05,4.8106e-03
51.0572,4.7073e-03,2.2868e+00,2.3781e-05,4.6577e-03
53.4072,4.7628e-03,2.2972e+00,2.3606e-05,4.4201e-03
55.8655,4.8075e-03,2.3052e+00,1.8192e-05,3.2564e-03
58.4368,4.8506e-03,2.3125e+00,1.6749e-05,2.8661e-03
61.1265,4.8975e-03,2.3202e+00,1.7446e-05,2.8541e-03
63.9401,4.9595e-03,2.3299e+00,2.2025e-05,3.4446e-03
66.8831,5.0269e-03,2.3400e+00,2.2913e-05,3.4259e-03
69.9616,5.0931e-03,2.3494e+00,2.1514e-05,3.0752e-03
73.1818,5.1416e-03,2.3561e+00,1.5055e-05,2.0572e-03
76.5502,5.1825e-03,2.3614e+00,1.2147e-05,1.5868e-03
80.0736,5.2220e-03,2.3663e+00,1.1207e-05,1.3996e-03
83.7592,5.2609e-03,2.3710e+00,1.0560e-05,1.2607e-03
87.6145,5.2991e-03,2.3754e+00,9.8977e-06,1.1297e-03
91.6472,5.3356e-03,2.3793e+00,9.0453e-06,9.8697e-04
95.8655,5.3692e-03,2.3828e+00,7.9622e-06,8.3056e-04
100.2780,5.4006e-03,2.3860e+00,7.1356e-06,7.1161e-04
104.8936,5.4285e-03,2.3886e+00,6.0288e-06,5.7477e-04
109.7216,5.4560e-03,2.3911e+00,5.7032e-06,5.1975e-04
114.7718,5.4839e-03,2.3936e+00,5.5204e-06,4.8102e-04
120.0545,5.5113e-03,2.3958e+00,5.1875e-06,4.3209e-04
125.5804,5.5346e-03,2.3977e+00,4.2104e-06,3.3524e-04
131.3606,5.6182e-03,2.4041e+00,1.4479e-05,1.1023e-03
137.4068,5.7545e-03,2.4140e+00,2.2533e-05,1.6398e-03
143.7314,5.9341e-03,2.4265e+00,2.8408e-05,1.9764e-03
150.3470,6.0680e-03,2.4354e+00,2.0230e-05,1.3456e-03
157.2672,6.1595e-03,2.4412e+00,1.3223e-05,8.4079e-04
164.5059,6.2492e-03,2.4467e+00,1.2393e-05,7.5336e-04
172.0777,6.3402e-03,2.4519e+00,1.2015e-05,6.9823e-04
179.9981,6.5073e-03,2.4612e+00,2.1094e-05,1.1719e-03
