Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
16.5305,3.4443e-04,4.1672e-01,2.5336e-04,3.0653e-01,9.6381e-03,1.1661e+01
18.2765,8.6693e-04,9.8849e-01,2.4500e-04,2.6810e-01,1.0299e-02,1.1270e+01
20.6179,1.4466e-03,1.5508e+00,2.2732e-04,2.2051e-01,1.0778e-02,1.0455e+01
23.5067,1.8164e-03,1.8654e+00,1.1458e-04,9.7486e-02,6.1919e-03,5.2682e+00
27.7186,2.3998e-03,2.2863e+00,1.1226e-04,8.1001e-02,7.1440e-03,5.1547e+00
31.8904,2.6930e-03,2.4703e+00,9.3185e-05,5.8441e-02,6.8370e-03,4.2878e+00
37.7108,3.3122e-03,2.7986e+00,7.2898e-05,3.8661e-02,6.3030e-03,3.3428e+00
45.0458,3.4607e-03,2.8646e+00,2.4037e-05,1.0672e-02,2.4893e-03,1.1052e+00
58.6178,3.9579e-03,3.0342e+00,2.3715e-05,8.0913e-03,3.1664e-03,1.0804e+00
77.9085,4.1899e-03,3.0938e+00,1.3173e-05,3.3817e-03,2.3530e-03,6.0405e-01
135.6447,4.8377e-03,3.1893e+00,6.6192e-06,9.7596e-04,1.9744e-03,2.9111e-01
927.9789,7.4845e-03,3.2463e+00,1.7802e-06,3.8367e-05,2.7660e-03,5.9614e-02
2209.8745,7.6893e-03,3.2482e+00,1.9011e-07,1.7206e-06,9.4792e-04,8.5790e-03
