Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
15.2697,2.9752e-04,3.8969e-01,1.8462e-04,2.4181e-01,6.4850e-03,8.4940e+00
17.0391,8.0062e-04,9.8021e-01,2.6103e-04,3.0639e-01,1.0230e-02,1.2008e+01
19.0643,1.3137e-03,1.5185e+00,2.4168e-04,2.5354e-01,1.0598e-02,1.1118e+01
21.4062,1.8832e-03,2.0505e+00,2.2239e-04,2.0778e-01,1.0948e-02,1.0229e+01
24.3472,2.2056e-03,2.3154e+00,9.7076e-05,7.9743e-02,5.4338e-03,4.4636e+00
27.9795,2.6957e-03,2.6657e+00,1.2429e-04,8.8842e-02,7.9939e-03,5.7141e+00
32.4518,3.1770e-03,2.9623e+00,9.6229e-05,5.9306e-02,7.1763e-03,4.4227e+00
38.7163,3.7625e-03,3.2648e+00,7.7789e-05,4.0184e-02,6.9128e-03,3.5710e+00
47.9642,4.0367e-03,3.3791e+00,2.5000e-05,1.0425e-02,2.7490e-03,1.1463e+00
62.4683,4.5057e-03,3.5293e+00,2.5997e-05,8.3232e-03,3.7132e-03,1.1888e+00
87.6667,4.9460e-03,3.6298e+00,1.3609e-05,3.1047e-03,2.7156e-03,6.1953e-01
158.3877,5.5824e-03,3.7101e+00,5.8334e-06,7.3660e-04,2.0405e-03,2.5766e-01
1480.6476,8.4308e-03,3.7486e+00,1.1235e-06,1.5175e-05,2.5642e-03,3.4637e-02
